SAGDP2N Gross domestic product (GDP) by state 1/
SAGDP2N Gross domestic product (GDP) by state 1/
State or DC
GeoFips,GeoName,LineCode,Description,2021
01000,Alabama,1,All industry total,254109.7
01000,Alabama,2,"  Private industries",213171.2
01000,Alabama,3,"    Agriculture, forestry, fishing and hunting",2801.7
01000,Alabama,4,"      Farms",2116.7
01000,Alabama,5,"      Forestry, fishing, and related activities",684.9
01000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",1864.3
01000,Alabama,7,"      Oil and gas extraction",417.1
01000,Alabama,8,"      Mining (except oil and gas)",1381.8
01000,Alabama,9,"      Support activities for mining",65.4
01000,Alabama,10,"    Utilities",7135.5
01000,Alabama,11,"    Construction",11000.9
01000,Alabama,12,"    Manufacturing",39631.7
01000,Alabama,13,"      Durable goods manufacturing",26452.0
01000,Alabama,14,"        Wood product manufacturing",2818.9
01000,Alabama,15,"        Nonmetallic mineral product manufacturing",1069.0
01000,Alabama,16,"        Primary metal manufacturing",3930.8
01000,Alabama,17,"        Fabricated metal product manufacturing",2782.7
01000,Alabama,18,"        Machinery manufacturing",978.6
01000,Alabama,19,"        Computer and electronic product manufacturing",999.7
01000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",910.1
01000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",7270.3
01000,Alabama,22,"        Other transportation equipment manufacturing",4093.7
01000,Alabama,23,"        Furniture and related product manufacturing",897.6
01000,Alabama,24,"        Miscellaneous manufacturing",700.7
01000,Alabama,25,"      Nondurable goods manufacturing",13179.8
01000,Alabama,26,"        Food and beverage and tobacco product manufacturing",3009.3
01000,Alabama,27,"        Textile mills and textile product mills",724.5
01000,Alabama,28,"        Apparel, leather, and allied product manufacturing",86.6
01000,Alabama,29,"        Paper manufacturing",2535.2
01000,Alabama,30,"        Printing and related support activities",231.9
01000,Alabama,31,"        Petroleum and coal products manufacturing",1751.1
01000,Alabama,32,"        Chemical manufacturing",3504.9
01000,Alabama,33,"        Plastics and rubber products manufacturing",1336.2
01000,Alabama,34,"    Wholesale trade",15868.1
01000,Alabama,35,"    Retail trade",18182.3
01000,Alabama,36,"    Transportation and warehousing",6962.3
01000,Alabama,37,"      Air transportation",101.5
01000,Alabama,38,"      Rail transportation",709.0
01000,Alabama,39,"      Water transportation",85.2
01000,Alabama,40,"      Truck transportation",2889.9
01000,Alabama,41,"      Transit and ground passenger transportation",79.5
01000,Alabama,42,"      Pipeline transportation",291.8
01000,Alabama,43,"      Other transportation and support activities",1571.1
01000,Alabama,44,"      Warehousing and storage",1234.3
01000,Alabama,45,"    Information",5461.7
01000,Alabama,46,"      Publishing industries (except Internet)",1420.9
01000,Alabama,47,"      Motion picture and sound recording industries",133.5
01000,Alabama,48,"      Broadcasting (except Internet) and telecommunications",3207.4
01000,Alabama,49,"      Data processing, hosting, and other information services",700.0
01000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",44170.7
01000,Alabama,51,"      Finance and insurance",15627.9
01000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",9020.6
01000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",1112.1
01000,Alabama,54,"        Insurance carriers and related activities",5470.5
01000,Alabama,55,"        Funds, trusts, and other financial vehicles",24.8
01000,Alabama,56,"      Real estate and rental and leasing",28542.8
01000,Alabama,57,"        Real estate",26159.0
01000,Alabama,58,"        Rental and leasing services and lessors of nonfinancial intangible assets",2383.8
01000,Alabama,59,"    Professional and business services",25511.1
01000,Alabama,60,"      Professional, scientific, and technical services",15943.0
01000,Alabama,61,"        Legal services",2797.1
01000,Alabama,62,"        Computer systems design and related services",3257.8
